Celebrity,Followers,Following,Likes,T.Videos,Video Duration,Average Views,Net Worth(Million),Most Viewed Video(Billion),Most Liked Video(Million),Video Category
khaby.lame,162.7,79,2.4,12100,35,7,75,0.273,37.8,"Comedy, life hacks"
charlidamelio,155.4,1.28K,11.7,2700,25,9.8,30,0.234,40.1,"Acting, Vlogs, Dance"
mrbeast,98,350,954.7,352,55,20,700,0.25,900,"Challenges, compilations"
bellapoarch,94.2,635,2.3,721,17,8,16,0.834,64.3,"Acting, dancing, modeling"
addisonre,88.8,21,5.8,17800,13,17.6,.,53,21.2,"Acting, Dance"
zachking,82.2,130,1.2,502,35,9.2,16,2.2,24.8,"Magic, tricks, funny"
kimberly.loaiza,81.3,363,5.1,27100,20,7.4,12,0.75,26.4,"Singing, dance"
tiktok,81,17,324.7,1000,30,5,66,2.2,60,All kinds
domelipa,75.1,180,4.6,22400,15,3.6,31,0.77,6.3,"Dance, music, trends"
Will Smith,31,200,1.5,250,30,2,350,0.4,7,"Comedy, motivational, challenges"
Cznburak,20,50,300,500,30,5,7,0.5,13,"Cooking, food preparation"
The Rock,44,200,1.2,350,30,7.5,400,0.5,15,"Motivational content, fitness, humor"
BTS,50,20,1,150,30,20,0.1,0.1,25,"Music, dance performances, fan engagement"
Billie Eilish,23,15,500,80,30,10,30,0.2,7,"Music, personal updates, behind-the-scenes"
Jason Derulo,21,150,700,400,30,17,20,3,15,"Music, dance challenges, viral trends"
Selena Gomez,53,60,1,120,35,15,410,0.5,17,"Personal updates, music, beauty tips"
Willie Salim,3.5,50,100,250,35,3,0.5,0.1,3,"Comedic skits, viral challenges"
Kylie Jenner,25,50,500,90,35,17,780,0.3,17,"Beauty, fashion, personal updates"
Dixie,23,100,700,350,35,17,10,0.3,17,"Music, personal updates, trending challenges"
YZ,5,200,100,150,35,3,0.25,0.1,3,"Comedy, challenges, trending topics"
Bayashi,1.5,50,30,100,35,1.5,0.3,0.5,1.5,"Comedy, trending challenges, creative skits"
Spencer X,26,100,1,300,35,17,13,0.5,1.5,"Beatboxing, music performances, popular challenges"
Karol G,10,30,200,100,35,16,30,0.2,7,"Music, personal updates, trending challenges"
Homa,2.5,100,50,100,35,2,0.3,0.5,1.5,"Unique content, trending topics"
Kris HS,2.5,150,60,150,35,1.5,0.3,0.5,1.5,"Comedic content, trending challenges, creative skits"
Real Madrid C.F.,5,50,200,300,35,3,5,0.1,1.5,"Football highlights, match updates, player profiles"
BLACKPINK official,40,10,900,150,35,17,75,0.5,17,"Music, dance performances, behind-the-scenes"
ESPN,7,50,150,200,35,3,2,0.1,1.3,"Sports highlights, trending news, analysis"
Riyaz,49,300,1.5,1000,35,10,3,0.5,1,"Lip-syncs, music covers, trending challenges"
Carlos Feria,7,100,150,250,35,3,0.8,0.1,3,"Comedy, lifestyle, trending challenges"
JoJo Siwa,38,60,900,200,35,17,20,0.3,13,"Dance routines, music content, personal updates"
Pongámoslo a Prueba,1.5,100,30,100,35,1.5,0.15,0.5,1.2,"Challenges, experiments, trending topics"
Ria Ricis,3,100,50,150,35,2,0.5,0.1,3,"Comedic content, lifestyle, trending challenges"
Rosé,11,50,200,60,35,10,30,0.2,7,"Music performances, personal updates"
Junya,4.5,100,70,300,35,3,0.3,0.1,1.5,"Comedy, creative experiments, trending challenges"
Joe Albanese,2.5,100,50,200,35,1.5,0.2,0.5,1.2,"Comedy, trends, popular challenges"
Niana Guerrero,22,70,500,300,35,7,0.8,0.2,7,"Dance videos, family content, trending challenges"
Paris Saint-Germain (PSG),3,60,70,200,35,2,15,0.5,1.3,"Football highlights, player profiles, match updates"
UEFA Champions League,2.5,30,50,150,35,1.5,20,0.1,1.5,"Football highlights, match previews, key moments"
Avani,42,80,1.5,600,35,13,3,0.5,22,"Makeup tutorials, beauty transformations, challenges"
XO Team,5,20,100,150,35,3,0.3,0.1,3,"Comedic skits, challenges, viral trends"
Noelgoescrazy,2.5,100,40,300,35,1.5,0.2,0.1,1.2,"Comedy, lifestyle, trending challenges"
Katteyes,1.5,100,30,200,32,1.5,0.1,0.5,1.2,"Beauty, makeup tutorials, trending trends"
Gordon Ramsay,22,20,500,400,30,3,220,0.2,7,"Cooking tips, recipe demonstrations, food critiques"
Anokhina Liza,9,100,150,250,36,3,0.8,0.1,3,"Lifestyle, trends, popular challenges"
Netflix,8,50,200,400,35,3,300,0.1,3,"Netflix original shows, trailers, behind-the-scenes"
Lucas and Marcus,30,80,800,600,30,3,3,0.5,17,"Comedy skits, challenges, pranks"
